trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3319020,495,3,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
768070,495,2,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
878010,495,1,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
617070,495,2,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
767010,495,1,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
214010,495,1,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
1755020,495,3,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
1537070,495,2,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
2938020,495,3,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
2996070,495,2,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
3003070,495,2,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
2393020,495,3,"Jason Hargrove Transit Center",,0,24992,shp-495-51,1,1
3289070,495,2,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
2446020,495,3,"Jason Hargrove Transit Center",,0,25012,shp-495-51,1,1
2300070,495,2,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
2124010,495,1,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
2189010,495,1,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
3166010,495,1,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
3085070,495,2,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
4070,495,2,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
594070,495,2,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
1465020,495,3,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
125070,495,2,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
1328010,495,1,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
704020,495,3,"Jason Hargrove Transit Center",,0,25012,shp-495-51,1,1
3149020,495,3,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
1193070,495,2,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
1921020,495,3,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
2102020,495,3,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
1463020,495,3,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
1031020,495,3,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
1639020,495,3,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
1231020,495,3,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
1121010,495,1,"Jason Hargrove Transit Center",,0,24962,shp-495-51,1,1
1324070,495,2,"Jason Hargrove Transit Center",,0,24982,shp-495-51,1,1
135020,495,3,"Jason Hargrove Transit Center",,0,25012,shp-495-51,1,1
1419020,495,3,"Jason Hargrove Transit Center",,0,24942,shp-495-51,1,1
1114020,495,3,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
1149020,495,3,"Jason Hargrove Transit Center",,0,24952,shp-495-51,1,1
1150070,495,2,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
1577020,495,3,"Jason Hargrove Transit Center",,0,24992,shp-495-51,1,1
149020,495,3,"Jason Hargrove Transit Center",,0,25002,shp-495-51,1,1
1297070,495,2,"Jason Hargrove Transit Center",,0,24972,shp-495-51,1,1
