trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
1426020,125,3,"Metro Airport",,0,11271,shp-125-51,1,1,1127
491020,125,3,"Metro Airport",,0,11211,shp-125-51,1,1,1121
392020,125,3,"Metro Airport",,0,11291,shp-125-51,1,1,1129
999020,125,3,"Metro Airport",,0,11301,shp-125-51,1,1,1130
2762020,125,3,"Metro Airport",,0,11311,shp-125-51,1,1,1131
945010,125,1,"Metro Airport",,0,11291,shp-125-51,1,1,1129
767010,125,1,"Metro Airport",,0,11271,shp-125-51,1,1,1127
1904020,140,3,"Dearborn Transit Center",,1,11461,shp-140-02,1,1,1146
1114020,140,3,"Dearborn Transit Center",,1,11411,shp-140-02,1,1,1141
2314020,140,3,"Dearborn Transit Center",,1,11451,shp-140-02,1,1,1145
1734020,140,3,"Dearborn Transit Center",,1,11401,shp-140-02,1,1,1140
2738020,140,3,"Dearborn Transit Center",,1,11471,shp-140-02,1,1,1147
2347020,140,3,"Dearborn Transit Center",,1,11441,shp-140-02,1,1,1144
2454020,140,3,"Dearborn Transit Center",,1,11431,shp-140-02,1,1,1143
2269020,140,3,"Dearborn Transit Center",,1,11431,shp-140-02,1,1,1143
547020,140,3,"Dearborn Transit Center",,1,11481,shp-140-02,1,1,1148
1341020,140,3,"Dearborn Transit Center",,1,11461,shp-140-02,1,1,1146
186020,140,3,"Dearborn Transit Center",,1,11421,shp-140-02,1,1,1142
494020,140,3,"Dearborn Transit Center",,1,11481,shp-140-02,1,1,1148
280020,140,3,"Dearborn Transit Center",,1,11411,shp-140-02,1,1,1141
2875020,140,3,"Dearborn Transit Center",,1,11401,shp-140-02,1,1,1140
815020,140,3,"Dearborn Transit Center",,1,11451,shp-140-02,1,1,1145
1292020,140,3,"Dearborn Transit Center",,1,11421,shp-140-02,1,1,1142
2356020,140,3,"Dearborn Transit Center",,1,11471,shp-140-02,1,1,1147
469020,140,3,"Southgate Meijer",,0,11421,shp-140-55,1,1,1142
1240020,140,3,"Southgate Meijer",,0,11471,shp-140-55,1,1,1147
2595020,140,3,"Southgate Meijer",,0,11421,shp-140-55,1,1,1142
295020,140,3,"Southgate Meijer",,0,11471,shp-140-55,1,1,1147
1320020,140,3,"Southgate Meijer",,0,11431,shp-140-55,1,1,1143
1602020,140,3,"Southgate Meijer",,0,11401,shp-140-55,1,1,1140
968020,140,3,"Southgate Meijer",,0,11451,shp-140-55,1,1,1145
2409020,140,3,"Southgate Meijer",,0,11431,shp-140-55,1,1,1143
3339020,140,3,"Southgate Meijer",,0,11481,shp-140-55,1,1,1148
2776020,140,3,"Southgate Meijer",,0,11481,shp-140-55,1,1,1148
2404020,140,3,"Southgate Meijer",,0,11401,shp-140-55,1,1,1140
1178020,140,3,"Southgate Meijer",,0,11411,shp-140-55,1,1,1141
756020,140,3,"Southgate Meijer",,0,11411,shp-140-55,1,1,1141
2056020,140,3,"Southgate Meijer",,0,11461,shp-140-55,1,1,1146
1913020,140,3,"Southgate Meijer",,0,11451,shp-140-55,1,1,1145
3087020,160,3,"Dearborn Transit Center",,1,11621,shp-160-04,1,1,1162
1111020,160,3,"Dearborn Transit Center",,1,11601,shp-160-04,1,1,1160
2521020,160,3,"Dearborn Transit Center",,1,11611,shp-160-04,1,1,1161
1560020,160,3,"Dearborn Transit Center",,1,11641,shp-160-04,1,1,1164
3300070,160,2,"Dearborn Transit Center",,1,11621,shp-160-04,1,1,1162
1224020,160,3,"Dearborn Transit Center",,1,11651,shp-160-04,1,1,1165
2411070,160,2,"Dearborn Transit Center",,1,11621,shp-160-04,1,1,1162
565020,160,3,"Dearborn Transit Center",,1,11631,shp-160-04,1,1,1163
983020,160,3,"Dearborn Transit Center",,1,11651,shp-160-04,1,1,1165
2850020,160,3,"Dearborn Transit Center",,1,11611,shp-160-04,1,1,1161
2209020,160,3,"Dearborn Transit Center",,1,11631,shp-160-04,1,1,1163
527070,160,2,"Dearborn Transit Center",,1,11601,shp-160-04,1,1,1160
441020,160,3,"Dearborn Transit Center",,1,11651,shp-160-04,1,1,1165
1888070,160,2,"Dearborn Transit Center",,1,11611,shp-160-04,1,1,1161
652070,160,2,"Dearborn Transit Center",,1,11611,shp-160-04,1,1,1161
2908070,160,2,"Dearborn Transit Center",,1,11601,shp-160-04,1,1,1160
3007020,160,3,"Dearborn Transit Center",,1,11641,shp-160-04,1,1,1164
3514070,160,2,"Dearborn Transit Center",,1,11611,shp-160-04,1,1,1161
2513070,160,2,"Dearborn Transit Center",,1,11621,shp-160-04,1,1,1162
433020,160,3,"Dearborn Transit Center",,1,11631,shp-160-04,1,1,1163
2468020,160,3,"Dearborn Transit Center",,1,11621,shp-160-04,1,1,1162
3303070,160,2,"Dearborn Transit Center",,1,11601,shp-160-04,1,1,1160
976020,160,3,"Dearborn Transit Center",,1,11611,shp-160-04,1,1,1161
802020,160,3,"Dearborn Transit Center",,1,11601,shp-160-04,1,1,1160
31020,160,3,"Trenton",,0,11631,shp-160-54,1,1,1163
3249020,160,3,"Trenton",,0,11621,shp-160-54,1,1,1162
3187020,160,3,"Trenton",,0,11641,shp-160-54,1,1,1164
1070,160,2,"Trenton",,0,11621,shp-160-54,1,1,1162
209070,160,2,"Trenton",,0,11601,shp-160-54,1,1,1160
1520020,160,3,"Trenton",,0,11601,shp-160-54,1,1,1160
1024070,160,2,"Trenton",,0,11621,shp-160-54,1,1,1162
2886020,160,3,"Trenton",,0,11651,shp-160-54,1,1,1165
2214070,160,2,"Trenton",,0,11601,shp-160-54,1,1,1160
