stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2214,13978,Woodward & Bethune,,42.372226,-83.074728,,,,,,0
2215,12883,Woodward & Baltimore,,42.368655,-83.072450,,,,,,0
2218,11395,Woodward & Kirby,,42.359325,-83.066172,,,,,,0
2232,19374,Woodward & Salem,,42.485893,-83.155658,,,,,,0
2233,19375,Woodward & Concord,,42.484208,-83.154102,,,,,,0
2234,20325,Woodward @ Chicken and Ribs,,42.480252,-83.150445,,,,,,1
2235,20326,Woodward & Zoo,,42.478208,-83.148585,,,,,,0
2236,11300,Maple & Old Woodward,,42.546755,-83.213833,,,,,,0
2237,12101,E Maple & Woodward,,42.546793,-83.209860,,,,,,0
2238,10047,E Maple & Elm,,42.546897,-83.208110,,,,,,0
2239,10683,E Maple & Adams,,42.546945,-83.205282,,,,,,0
2240,10048,E Maple & Rugby,,42.547017,-83.203168,,,,,,0
2241,10684,E Maple & Cambridge,,42.547057,-83.199480,,,,,,0
2242,10049,E Maple & S Eton,,42.547135,-83.196857,,,,,,0
2243,10050,Maple & Maple Lane,,42.547192,-83.193328,,,,,,0
2245,22058,Coolidge & Maple,,42.548033,-83.186145,,,,,,0
2246,21373,Coolidge & Dorchester,,42.549790,-83.186240,,,,,,0
2247,21374,Coolidge & Somerset Boulevard,,42.551808,-83.186367,,,,,,0
2248,21375,Coolidge & Derby,,42.553947,-83.186462,,,,,,0
2249,11826,Coolidge & Golfview,,42.557802,-83.186955,,,,,,0
2250,12107,Coolidge & Derby,,42.554105,-83.186828,,,,,,0
2251,21379,Coolidge & Windemere,,42.551220,-83.186668,,,,,,0
2252,12108,Coolidge & Dorchester,,42.549560,-83.186527,,,,,,0
2253,22059,Maple & Coolidge,,42.547413,-83.186653,,,,,,0
2254,10686,E Maple & St Andrews,,42.547335,-83.189863,,,,,,0
2255,10687,E Maple & Edinborough,,42.547270,-83.193360,,,,,,0
2256,10688,E Maple & Cambridge,,42.547192,-83.199735,,,,,,0
2257,10689,E Maple & Rugby,,42.547112,-83.202962,,,,,,0
2258,10690,E Maple & Adams Farside,,42.547032,-83.206743,,,,,,0
2259,10691,W Maple & Woodward,,42.546928,-83.210368,,,,,,0
2269,22982,Squirrel & Hamlin,,42.648408,-83.220143,,,,,,0
2270,22983,Squirrel & Westbury Village,,42.638570,-83.220333,,,,,,0
2271,22984,Auburn & Juniper,,42.633658,-83.218998,,,,,,0
2274,11206,Crooks & Corporate,,42.596712,-83.169073,,,,,,0
2275,1669,Crooks & Long Lake,,42.590368,-83.168820,,,,,,0
2276,22662,Crooks & Investment Drive,,42.587825,-83.168660,,,,,,0
2277,22663,Crooks & Wattles,,42.576072,-83.168025,,,,,,0
2278,22664,Crooks & McManus Drive,,42.572265,-83.167818,,,,,,0
2279,22665,Crooks & Wilshire,,42.563563,-83.167468,,,,,,0
2285,720,Crooks & Big Beaver,,42.562673,-83.167167,,,,,,0
2286,22658,Crooks & Wilshire,,42.564643,-83.167262,,,,,,0
2287,22659,Crooks & McManus,,42.571455,-83.167548,,,,,,0
2288,22660,Crooks & Wattles,,42.578178,-83.167898,,,,,,0
2289,22661,Crooks & Cemetery,,42.587603,-83.168278,,,,,,0
2290,734,Crooks & Long Lake,,42.591910,-83.168470,,,,,,0
2291,735,Crooks & Tower Drive,,42.596663,-83.168613,,,,,,0
2293,22978,Auburn & Adams,,42.634103,-83.211163,,,,,,0
2294,22979,Auburn & College,,42.633880,-83.217918,,,,,,0
2295,22980,240 Squirrel Skateboard Park,,42.638545,-83.219937,,,,,,0
2296,22981,Squirrel & Hamlin,,42.647493,-83.219650,,,,,,0
2303,18127,8 Mile & Gary,,42.446793,-83.109230,,,,,,0
2304,18128,8 Mile & Danbury,,42.446873,-83.105925,,,,,,0
2305,819,8 Mile & John R,,42.446937,-83.102475,,,,,,0
2306,18129,8 Mile & Irvington,,42.446555,-83.098008,,,,,,0
2307,23613,8 Mile & Cardoni,,42.446698,-83.091795,,,,,,0
2308,18131,8 Mile & Hanna,,42.446817,-83.089887,,,,,,0
2309,18132,8 Mile & Orleans,,42.446880,-83.088012,,,,,,0
2310,797,Dequindre & 8 Mile,,42.447818,-83.083338,,,,,,0
2311,21750,Dequindre & John B,,42.449360,-83.083323,,,,,,0
2312,10602,Dequindre @ 21230,,42.451148,-83.083402,,,,,,0
2313,21751,Dequindre & Madge,,42.453930,-83.083450,,,,,,0
2314,21752,Dequindre & Jarvis,,42.457013,-83.083640,,,,,,0
2315,21753,Dequindre & Otis,,42.459683,-83.083752,,,,,,0
2316,798,Dequindre & 9 Mile,,42.462338,-83.083847,,,,,,0
2317,21755,Dequindre & Capitol,,42.465008,-83.084038,,,,,,0
2318,21756,Dequindre & Morrisey,,42.467488,-83.084180,,,,,,0
2319,799,Dequindre & Stephens,,42.469387,-83.084277,,,,,,0
2320,22489,Dequindre & Center Woods,,42.470953,-83.084323,,,,,,0
2321,21757,Dequindre & Ten Mile,,42.474720,-83.084355,,,,,,0
2322,800,Dequindre & 10 Mile,,42.476692,-83.084420,,,,,,0
2323,21650,Dequindre & Riggs,,42.478710,-83.084547,,,,,,0
2324,11235,Dequindre & Concept Drive,,42.480633,-83.084610,,,,,,0
2325,11867,Dequindre & Tobsal,,42.482055,-83.084690,,,,,,0
2326,11236,Dequindre & Red Roof Inn,,42.486100,-83.084833,,,,,,0
2327,21651,Dequindre & Grieg,,42.489017,-83.084943,,,,,,0
2328,21758,Dequindre & 11 Mile,,42.491655,-83.085023,,,,,,0
2329,11241,Dequindre & Target Ent Fa,,42.494262,-83.085055,,,,,,0
2330,21759,Dequindre & Parkview,,42.496543,-83.085167,,,,,,0
2331,21760,Dequindre & Universal Mall,,42.498872,-83.085278,,,,,,0
2332,23437,Dequindre & Jenifer,,42.501232,-83.085405,,,,,,0
2333,23636,Dequindre & 12 Mile,,42.503838,-83.085485,,,,,,0
2334,801,Dequindre & 12 Mile,,42.506128,-83.085563,,,,,,0
2335,21761,Dequindre & Nicholas,,42.509180,-83.085690,,,,,,0
2336,21762,Dequindre & Amazing Grace Church,,42.511253,-83.085755,,,,,,0
2337,23408,Dequindre & Commons,,42.512652,-83.085850,,,,,,0
2338,21764,Dequindre & Cromie,,42.514807,-83.085945,,,,,,0
2339,21765,Dequindre & Wilson Welding,,42.517247,-83.086040,,,,,,0
2340,21766,Dequindre & Fred,,42.518485,-83.086040,,,,,,0
2341,21767,Dequindre & 13 Mile,,42.520417,-83.086120,,,,,,0
2342,22490,Dequindre & Otter,,42.522348,-83.086200,,,,,,0
2344,21769,Dequindre & Whitcomb,,42.525868,-83.086390,,,,,,0
2345,11243,Dequindre & Avis Drive,,42.528578,-83.086453,,,,,,0
2346,21770,Dequindre & Howard Finishing,,42.531940,-83.086597,,,,,,0
2347,802,Dequindre & 14 Mile,,42.533323,-83.086645,,,,,,0
2348,23591,Dequindre & 14 Mile,,42.535485,-83.086835,,,,,,0
2349,21050,Dequindre & Oak Pointe,,42.538267,-83.087058,,,,,,0
2350,23592,Dequindre & Oak Pointe,,42.539705,-83.087185,,,,,,0
2351,21051,Dequindre & Tarry,,42.540985,-83.087312,,,,,,0
2352,21052,Dequindre & Camel,,42.543798,-83.087503,,,,,,0
2353,21053,Dequindre & Wisconsin,,42.545800,-83.087678,,,,,,0
2354,9721,Dequindre & 15 Mile,,42.548303,-83.087900,,,,,,0
2355,23593,Dequindre & 15 Mile,,42.549838,-83.088075,,,,,,0
2356,21055,Dequindre & Chesley,,42.552873,-83.088187,,,,,,0
2357,21056,Dequindre & Elmcrest,,42.556355,-83.088265,,,,,,0
2358,21057,Dequindre & Valley Drive,,42.558190,-83.088345,,,,,,0
2359,23594,Dequindre & Autumn Ridge,,42.559852,-83.088457,,,,,,0
2360,803,Dequindre & Big Beaver,,42.562252,-83.088568,,,,,,0
2362,812,Dequindre & Big Beaver,,42.562323,-83.088775,,,,,,0
2363,21315,Dequindre & Athena,,42.559692,-83.088663,,,,,,0
2364,21316,Dequindre & Hempstead,,42.556783,-83.088552,,,,,,0
2365,21317,Dequindre & Northhampton,,42.554225,-83.088457,,,,,,0
2366,21318,Dequindre & 15 Mile,,42.550792,-83.088313,,,,,,0
2367,9722,Dequindre & 15 Mile,,42.548995,-83.088233,,,,,,0
2368,21320,Dequindre & Iowa,,42.547310,-83.088075,,,,,,0
2369,21321,Dequindre & Wisconsin,,42.545483,-83.087948,,,,,,0
2370,21322,Dequindre & Dashwood,,42.543885,-83.087788,,,,,,0
2371,22488,Dequindre & Tarry,,42.541413,-83.087582,,,,,,0
2372,21323,Dequindre & Elliott,,42.538967,-83.087312,,,,,,0
2373,813,Dequindre & 14 Mile,,42.533848,-83.086898,,,,,,0
2374,19708,Dequindre & Howard Finishing,,42.531360,-83.086788,,,,,,0
2375,19709,Dequindre & Avis,,42.527958,-83.086708,,,,,,0
2376,19761,Dequindre & Whitcomb,,42.524907,-83.086548,,,,,,0
2377,19762,Dequindre & Chicago,,42.522317,-83.086438,,,,,,0
2378,19763,Dequindre & 13 Mile,,42.519607,-83.086327,,,,,,0
2379,19764,Dequindre & Fred,,42.517778,-83.086263,,,,,,0
2380,19765,Dequindre & Oakland,,42.515602,-83.086168,,,,,,0
2381,11566,Dequindre & Moulin,,42.511905,-83.085945,,,,,,0
2382,19766,Dequindre & Fontaine,,42.510387,-83.085882,,,,,,0
2383,19767,Dequindre @ Wendy's,,42.508393,-83.085802,,,,,,0
2384,23438,Dequindre & 12 Mile,,42.507145,-83.085723,,,,,,0
2385,814,Dequindre & 12 Mile,,42.504673,-83.085643,,,,,,0
2386,10330,Dequindre & Target Drivewa,,42.502313,-83.085532,,,,,,0
2387,19710,Dequindre & Jenifer,,42.499778,-83.085468,,,,,,0
2388,23499,Dequindre & Madison-Solberg Drive,,42.497640,-83.085373,,,,,,0
2389,10335,Dequindre & Parkview,,42.494238,-83.085278,,,,,,0
2390,11573,Dequindre @ 27301,,42.492713,-83.085198,,,,,,0
2391,1145,Dequindre & 11 Mile,,42.490122,-83.085167,,,,,,0
2392,19758,Dequindre & Greig,,42.488382,-83.085103,,,,,,0
2393,11562,Dequindre & Knights Inn,,42.486315,-83.085007,,,,,,0
2394,23179,Dequindre & Tobsal Court,,42.481905,-83.084800,,,,,,0
2395,11563,Dequindre & Concept Drive,,42.480235,-83.084722,,,,,,0
2396,19750,Dequindre & Riggs,,42.478550,-83.084673,,,,,,0
2397,815,Dequindre & 10 Mile,,42.475880,-83.084593,,,,,,0
2398,19222,Dequindre & Sears Auto,,42.475388,-83.084562,,,,,,0
2399,19223,Dequindre & Hazel Park Raceway,,42.471677,-83.084467,,,,,,0
2400,19224,Dequindre & Oak Grove,,42.470405,-83.084452,,,,,,0
2401,816,Dequindre & Woodward Heights,,42.469332,-83.084435,,,,,,0
2402,19225,Dequindre & Tucker,,42.466455,-83.084277,,,,,,0
2403,19226,Dequindre & Felker,,42.463785,-83.084102,,,,,,0
2404,817,Dequindre & 9 Mile,,42.461448,-83.084007,,,,,,0
2405,19228,Dequindre & E Otis,,42.458977,-83.083895,,,,,,0
2406,19229,Dequindre & E Harry,,42.456203,-83.083783,,,,,,0
2407,11516,Dequindre & Evelyn,,42.453525,-83.083688,,,,,,0
2408,19230,Dequindre & Elza,,42.451467,-83.083608,,,,,,0
2409,19231,Dequindre & Milton,,42.450060,-83.083562,,,,,,0
2410,818,Dequindre & George,,42.447795,-83.083497,,,,,,0
2412,19252,8 Mile & Merrill,,42.447287,-83.086677,,,,,,0
2413,19253,8 Mile & Hughes,,42.447238,-83.090587,,,,,,0
